,Coord_1_Casa,Coord_1_Lavoro,Coord_2_Casa,Coord_2_Lavoro,Giorni_al_1Lav,Giorni_al_2Lav,Id_Term,Km_Percorsi,N_Case,N_Giorni_Pres,N_Lavori,N_Soste_Univ,Notti_1Casa,Notti_2Casa,Notti_In,Notti_Out,Trans_Confine,Veh_Type
884,"[0, 0]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2713106,44450.99290000002,0,8,0,1,0,0,1,6,7,2
885,"[0, 0]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2713125,535174.596,0,3,0,1,0,0,1,1,2,2
886,"[0, 0]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2713134,508240.0346000002,0,5,0,1,0,0,0,4,3,2
887,"[0, 0]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2713159,20250.955700000035,0,4,0,1,0,0,2,1,2,2
888,"[10.164135999999999, 45.507392000000003]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2713179,1829.4133999999985,1,29,0,0,27,0,27,0,0,2
889,"[0, 0]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2713188,19233.111899999996,0,6,0,1,0,0,2,3,1,2
890,"[10.065511000000001, 45.197519]","[-1, -1]","[10.078010000000001, 45.144832999999998]","[-1, -1]",0,0,2713202,33774.74440000001,2,46,0,1,15,4,23,22,15,2
891,"[0, 0]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2713209,91.45870000000001,0,2,0,1,0,0,1,0,0,2
892,"[-1, -1]","[-1, -1]","[-1, -1]","[-1, -1]",0,0,2713218,87.62820000000004,0,1,0,1,0,0,0,0,0,2
893,"[0, 0]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2713220,578259.8450999983,0,27,0,1,0,0,3,23,12,2
894,"[10.208246000000001, 45.497259999999997]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2713221,13791.04969999999,1,29,0,3,27,0,28,0,19,2
895,"[-1, -1]","[-1, -1]","[-1, -1]","[-1, -1]",0,0,2713223,41764.852699999974,0,7,0,1,0,0,0,6,4,2
896,"[10.512105999999999, 45.571497999999998]","[-1, -1]","[10.207952000000001, 45.497649000000003]","[-1, -1]",0,0,2713225,14850.702799999997,2,40,0,9,19,16,38,0,13,2
897,"[10.032550000000001, 45.125647000000001]","[-1, -1]","[10.034407, 45.133386999999999]","[-1, -1]",0,0,2713226,9869.960599999988,2,29,0,1,25,2,28,0,21,2
898,"[10.438291, 45.570835000000002]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2713284,1651.4844999999993,1,45,0,1,19,0,30,0,0,2
899,"[10.438330000000001, 45.569302]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2713286,2957.8214999999996,1,28,0,0,22,0,28,0,5,2
900,"[10.438188, 45.569161999999999]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2713288,3543.1107000000047,1,44,0,0,34,0,38,0,0,2
901,"[10.438229, 45.569276000000002]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2713289,10839.49929999999,1,37,0,0,32,0,33,0,27,2
902,"[10.437893000000001, 45.569149000000003]","[-1, -1]","[10.438558, 45.575608000000003]","[-1, -1]",0,0,2713290,36812.906899999885,2,30,0,0,22,2,26,1,10,2
903,"[0, 0]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2713317,549891.9020000001,0,15,0,1,0,0,1,13,14,2
904,"[-1, -1]","[-1, -1]","[-1, -1]","[-1, -1]",0,0,2713334,7356.933299999997,0,4,0,1,0,0,0,3,0,2
905,"[0, 0]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2713343,531730.6642999998,0,4,0,1,0,0,0,3,4,2
906,"[9.9831210000000006, 45.224003000000003]","[-1, -1]","[9.9929070000000007, 45.201709999999999]","[-1, -1]",0,0,2713378,36234.304600000025,2,46,0,1,25,3,38,5,37,2
907,"[10.793342000000001, 45.138584000000002]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2713380,543735.3872999998,1,20,0,1,2,0,4,15,24,2
908,"[0, 0]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2713392,618069.2562999956,0,11,0,1,0,0,0,10,2,2
909,"[0, 0]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2713394,32529.154799999982,0,8,0,1,0,0,3,4,4,2
910,"[0, 0]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2713412,580604.8815,0,9,0,1,0,0,1,7,2,2
911,"[0, 0]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2713417,502375.60470000026,0,15,0,1,0,0,1,12,15,2
912,"[9.9833689999999997, 45.224615999999997]","[-1, -1]","[9.9759119999999992, 45.229722000000002]","[-1, -1]",0,0,2713419,468239.8103,2,31,0,0,12,2,21,7,23,2
913,"[0, 0]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2713422,543146.3712999999,0,6,0,1,0,0,1,4,9,2
914,"[0, 0]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2713429,49811.698199999984,0,9,0,1,0,0,3,5,4,2
915,"[0, 0]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2713430,425349.91449999996,0,23,0,1,0,0,0,21,29,2
916,"[-1, -1]","[-1, -1]","[-1, -1]","[-1, -1]",0,0,2713440,55506.649600000026,0,16,0,1,0,0,0,15,24,2
917,"[9.9828340000000004, 45.22475]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2713446,41323.76949999995,1,8,0,1,2,0,4,3,7,2
918,"[10.134658999999999, 45.839391999999997]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2713456,7402.283999999999,1,28,0,0,21,0,22,0,10,2
919,"[0, 0]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2713471,478292.5761000001,0,24,0,1,0,0,2,20,22,2
920,"[10.872776, 45.496225000000003]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2713498,22658.235300000008,1,35,0,0,14,0,14,8,35,2
921,"[9.8106720000000003, 45.614702999999999]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2713519,510050.2297000011,1,36,0,0,11,0,12,18,31,2
922,"[-1, -1]","[-1, -1]","[-1, -1]","[-1, -1]",0,0,2713521,33182.33419999999,0,2,0,1,0,0,0,1,0,2
923,"[10.34168, 45.135646000000001]","[-1, -1]","[10.826572000000001, 45.151448000000002]","[-1, -1]",0,0,2713530,30121.693999999992,2,14,0,1,3,2,6,7,8,2
924,"[0, 0]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2713550,21529.88630000001,0,2,0,1,0,0,1,0,4,2
925,"[0, 0]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2713557,253016.15999999992,0,5,0,1,0,0,1,3,0,2
926,"[0, 0]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2713579,599182.8654000002,0,3,0,1,0,0,1,1,0,2
927,"[-1, -1]","[-1, -1]","[-1, -1]","[-1, -1]",0,0,2713587,1659.343699999999,0,2,0,1,0,0,0,1,0,2
928,"[-1, -1]","[-1, -1]","[-1, -1]","[-1, -1]",0,0,2713592,7077.166900000003,0,3,0,0,0,0,0,2,2,2
929,"[0, 0]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2713647,476371.1188000003,0,11,0,1,0,0,1,9,3,2
930,"[0, 0]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2713683,532190.8533999992,0,5,0,1,0,0,2,2,1,2
931,"[10.330633000000001, 46.131912]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2713687,305.8485,1,3,0,1,2,0,2,0,0,2
932,"[0, 0]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2713693,557333.6294999996,0,11,0,1,0,0,0,9,7,2
933,"[0, 0]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2713710,503124.45510000025,0,9,0,1,0,0,0,9,1,2
934,"[0, 0]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2713729,523199.94049999985,0,13,0,1,0,0,0,12,10,2
935,"[0, 0]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2713740,540434.9519000001,0,3,0,1,0,0,0,2,1,2
936,"[10.134828000000001, 45.839351000000001]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2713749,1486.8189000000002,1,22,0,0,13,0,16,0,0,2
937,"[10.872911, 45.496163000000003]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2713765,2145.9884000000015,1,19,0,0,16,0,16,2,16,2
938,"[10.135127000000001, 45.835934999999999]","[-1, -1]","[10.141730000000001, 45.846085000000002]","[-1, -1]",0,0,2713769,21029.416900000026,2,25,0,0,9,4,18,4,16,2
939,"[0, 0]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2713777,498720.589199994,0,3,0,1,0,0,1,1,1,2
940,"[0, 0]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2713809,367524.7996999998,0,5,0,1,0,0,2,2,0,2
941,"[0, 0]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2713810,30918.271399999994,0,4,0,0,0,0,2,1,0,2
942,"[0, 0]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2713825,51842.4986,0,5,0,1,0,0,1,3,3,2
943,"[-1, -1]","[-1, -1]","[-1, -1]","[-1, -1]",0,0,2713830,44969.22219999998,0,10,0,1,0,0,0,8,8,2
944,"[-1, -1]","[-1, -1]","[-1, -1]","[-1, -1]",0,0,2713841,106.99869999999996,0,1,0,1,0,0,0,0,0,2
945,"[-1, -1]","[-1, -1]","[-1, -1]","[-1, -1]",0,0,2713843,6054.757899999993,0,2,0,1,0,0,0,1,0,2
946,"[10.859489, 45.136766000000001]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2713846,972.6952000000002,1,10,0,0,2,0,7,1,3,2
947,"[-1, -1]","[-1, -1]","[-1, -1]","[-1, -1]",0,0,2713849,784.6534999999999,0,1,0,1,0,0,0,0,1,2
948,"[0, 0]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2713863,525761.8485999973,0,9,0,1,0,0,0,8,1,2
949,"[-1, -1]","[-1, -1]","[-1, -1]","[-1, -1]",0,0,2713865,49899.36670000261,0,25,0,1,0,0,0,6,36,2
950,"[0, 0]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2713870,532979.5401999999,0,6,0,1,0,0,0,5,1,2
951,"[0, 0]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2713891,24688.433300000008,0,3,0,0,0,0,1,1,0,2
952,"[10.375838, 45.483477999999998]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2713896,7884.070100000016,1,18,0,1,14,0,15,0,12,2
953,"[10.653413, 45.306930000000001]","[-1, -1]","[10.382053000000001, 45.151629]","[-1, -1]",0,0,2713968,21831.959800000004,2,21,0,0,5,5,16,2,1,2
954,"[0, 0]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2714007,527344.6556000006,0,11,0,1,0,0,5,5,5,2
955,"[0, 0]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2714030,44592.89949999996,0,14,0,1,0,0,3,10,4,2
956,"[0, 0]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2714034,189.76080000000002,0,2,0,1,0,0,1,0,2,2
957,"[10.750199, 45.426364]","[-1, -1]","[10.55951, 45.441242000000003]","[-1, -1]",0,0,2714050,35.2319,2,19,0,0,6,2,14,0,0,2
958,"[9.7738200000000006, 45.657330000000002]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2714059,373955.09790000005,1,11,0,1,2,0,3,8,3,2
959,"[9.8072700000000008, 45.643667000000001]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2714073,502752.15709999995,1,10,0,1,2,0,5,4,3,2
960,"[10.195717, 45.545838000000003]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2714091,505859.1585000001,1,5,0,1,2,0,3,1,0,2
961,"[0, 0]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2714100,31513.041199999996,0,5,0,1,0,0,3,1,6,2
962,"[0, 0]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2714103,289152.0278,0,7,0,1,0,0,0,6,5,2
963,"[10.274546000000001, 45.409672999999998]","[-1, -1]","[10.280723, 45.402096999999998]","[-1, -1]",0,0,2714106,13442.148099999993,2,27,0,1,14,3,27,0,17,2
964,"[0, 0]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2714119,707930.7505,0,3,0,1,0,0,0,2,0,2
965,"[0, 0]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2714124,551976.6004999998,0,5,0,1,0,0,0,4,3,2
966,"[0, 0]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2714135,460320.5556999999,0,3,0,1,0,0,1,1,1,2
967,"[10.873559999999999, 45.414043999999997]","[-1, -1]","[10.88791, 45.413316999999999]","[-1, -1]",0,0,2714146,555126.6307999981,2,21,0,1,8,4,12,8,14,2
968,"[9.8997700000000002, 45.666544999999999]","[-1, -1]","[9.8657520000000005, 45.636215999999997]","[-1, -1]",0,0,2714149,3868.572499999999,2,25,0,1,13,5,19,0,6,2
969,"[-1, -1]","[-1, -1]","[-1, -1]","[-1, -1]",0,0,2714151,17854.422799999993,0,2,0,1,0,0,0,1,0,2
970,"[10.85923, 45.136586000000001]","[-1, -1]","[10.836368999999999, 45.152126000000003]","[-1, -1]",0,0,2714166,24323.408699999985,2,23,0,1,3,2,8,11,2,2
971,"[9.8055289999999999, 45.180038000000003]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2714191,505244.3541000001,1,10,0,1,2,0,3,6,0,2
972,"[10.571904, 45.459577000000003]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2714199,62305.864299999994,1,6,0,1,2,0,4,1,0,2
973,"[0, 0]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2714206,381215.97980000003,0,6,0,1,0,0,1,4,2,2
974,"[0, 0]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2714220,502489.9012000002,0,3,0,1,0,0,0,2,1,2
975,"[9.7969120000000007, 45.17989]","[-1, -1]","[9.773593, 45.177098000000001]","[-1, -1]",0,0,2714239,482256.9629000003,2,37,0,1,7,7,6,30,0,2
976,"[9.8233540000000001, 45.180135]","[-1, -1]","[9.780265, 45.178519000000001]","[-1, -1]",0,0,2714242,438967.5743999999,2,17,0,1,2,2,7,9,0,2
977,"[-1, -1]","[-1, -1]","[-1, -1]","[-1, -1]",0,0,2714265,318.42759999999987,0,1,0,1,0,0,0,0,2,2
978,"[0, 0]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2714267,176312.4945000001,0,13,0,0,0,0,2,10,5,2
979,"[0, 0]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2714273,565191.7582999998,0,4,0,1,0,0,1,2,1,2
980,"[0, 0]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2714279,39788.92959999999,0,5,0,0,0,0,2,2,1,2
981,"[0, 0]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2714322,411157.1316,0,10,0,1,0,0,0,9,6,2
982,"[9.8192219999999999, 45.641058999999998]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2714329,410150.24909999967,1,25,0,1,2,0,7,17,6,2
983,"[10.348209000000001, 45.391005]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2714347,2212.3378000000002,1,7,0,0,5,0,6,0,5,2
984,"[0, 0]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2714360,211142.8421999998,0,9,0,1,0,0,0,8,4,2
985,"[10.329376999999999, 45.448318]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2714365,54070.94259999998,1,7,0,1,2,0,4,2,2,2
986,"[0, 0]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2714377,487091.04019999725,0,2,0,1,0,0,0,1,4,2
987,"[10.327908000000001, 45.501547000000002]","[-1, -1]","[10.149922999999999, 45.348401000000003]","[-1, -1]",0,0,2714381,430285.3612000005,2,48,0,1,14,7,26,3,44,2
988,"[-1, -1]","[-1, -1]","[-1, -1]","[-1, -1]",0,0,2714382,162.56000000000006,0,1,0,1,0,0,0,0,0,2
989,"[0, 0]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2714383,513574.23099999974,0,14,0,1,0,0,1,12,0,2
990,"[0, 0]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2714388,14774.4557,0,3,0,1,0,0,2,0,0,2
991,"[-1, -1]","[-1, -1]","[-1, -1]","[-1, -1]",0,0,2714443,51479.38579999999,0,3,0,1,0,0,0,2,0,2
992,"[0, 0]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2714473,393448.5710999993,0,7,0,1,0,0,1,6,5,2
993,"[0, 0]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2714478,416286.89829999994,0,3,0,1,0,0,0,2,0,2
994,"[10.885916999999999, 45.413445000000003]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2714492,567882.1294999993,1,12,0,1,2,0,3,8,7,2
995,"[-1, -1]","[-1, -1]","[-1, -1]","[-1, -1]",0,0,2714517,76.11759999999998,0,1,0,1,0,0,0,0,0,2
996,"[0, 0]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2714520,436464.2717000001,0,10,0,1,0,0,1,7,5,2
997,"[-1, -1]","[-1, -1]","[-1, -1]","[-1, -1]",0,0,2714528,4858.6999000000005,0,3,0,1,0,0,0,2,1,2
998,"[10.419129, 45.360641999999999]","[-1, -1]","[10.195556, 45.545737000000003]","[-1, -1]",0,0,2714532,3529.9544999999976,2,7,0,1,4,2,6,0,1,2
999,"[0, 0]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2714533,827451.2417999998,0,2,0,1,0,0,0,1,0,2
1000,"[-1, -1]","[-1, -1]","[-1, -1]","[-1, -1]",0,0,2714535,121.9344,0,1,0,1,0,0,0,0,0,2
1001,"[10.19577, 45.521877000000003]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2714538,44.29560000000001,1,8,0,0,2,0,3,0,0,2
1002,"[0, 0]","[0, 0]","[0, 0]","[0, 0]",0,0,2714564,566273.2874999999,0,12,0,0,0,0,0,10,5,2
1003,"[0, 0]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2714583,53208.084199999954,0,19,0,1,0,0,2,8,6,2
1004,"[0, 0]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2714591,43386.03010000001,0,9,0,1,0,0,4,4,2,2
1005,"[-1, -1]","[-1, -1]","[-1, -1]","[-1, -1]",0,0,2714593,9431.169199999995,0,2,0,1,0,0,0,1,0,2
1006,"[9.7732379999999992, 45.651111999999998]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2714599,527649.359,1,8,0,1,2,0,3,4,2,2
1007,"[-1, -1]","[-1, -1]","[-1, -1]","[-1, -1]",0,0,2714608,2105.575,0,2,0,1,0,0,0,1,2,2
1008,"[10.196932, 45.429172999999999]","[-1, -1]","[10.348217999999999, 45.391016999999998]","[-1, -1]",0,0,2714609,38720.13080000003,2,26,0,0,14,5,25,0,6,2
1009,"[0, 0]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2714615,18422.404600000005,0,13,0,1,0,0,1,1,0,2
1010,"[10.418842, 45.360334000000002]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2714622,16400.092500000006,1,4,0,1,2,0,2,1,0,2
1011,"[0, 0]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2714636,1367.7344999999998,0,2,0,1,0,0,1,0,0,2
1012,"[-1, -1]","[-1, -1]","[-1, -1]","[-1, -1]",0,0,2714638,51665.3174,0,6,0,1,0,0,0,4,0,2
1013,"[0, 0]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2714639,526261.0618,0,4,0,1,0,0,0,3,2,2
1014,"[9.7852969999999999, 45.648530999999998]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2714643,554896.4269000002,1,7,0,1,2,0,1,5,0,2
1015,"[0, 0]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2714649,427522.6277999997,0,23,0,1,0,0,3,20,31,2
1016,"[0, 0]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2714656,21568.148800000014,0,2,0,1,0,0,1,0,0,2
1017,"[-1, -1]","[-1, -1]","[-1, -1]","[-1, -1]",0,0,2714684,43350.34949999996,0,2,0,1,0,0,0,1,1,2
1018,"[0, 0]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2714697,286200.9135000007,0,36,0,1,0,0,0,35,36,2
1019,"[0, 0]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2714711,354078.1983,0,5,0,1,0,0,1,2,1,2
1020,"[0, 0]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2714713,382456.0922000004,0,25,0,0,0,0,0,27,23,2
1021,"[0, 0]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2714737,621959.8704999976,0,26,0,1,0,0,0,20,39,2
1022,"[-1, -1]","[-1, -1]","[-1, -1]","[-1, -1]",0,0,2714743,44670.644699999975,0,8,0,1,0,0,0,7,8,2
1023,"[0, 0]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2714766,293420.6859999999,0,21,0,1,0,0,1,24,13,2
1024,"[0, 0]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2714770,563301.2342999993,0,9,0,1,0,0,3,5,6,2
1025,"[-1, -1]","[-1, -1]","[-1, -1]","[-1, -1]",0,0,2714773,36064.0989,0,2,0,1,0,0,0,1,1,2
1026,"[0, 0]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2714774,513314.0648000012,0,52,0,0,0,0,0,31,97,2
1027,"[9.7748810000000006, 45.654589999999999]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2714806,526578.0692000001,1,24,0,1,3,0,5,18,3,2
1028,"[0, 0]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2714812,530006.7822000006,0,12,0,1,0,0,1,10,5,2
1029,"[0, 0]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2714822,246313.0577999999,0,30,0,1,0,0,1,26,32,2
1030,"[10.874682, 45.447690999999999]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2714870,371.1344000000001,1,22,0,0,16,0,8,9,3,2
1031,"[0, 0]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2714896,493657.3806999999,0,3,0,1,0,0,0,2,2,2
1032,"[0, 0]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2714909,99848.67960000156,0,12,0,1,0,0,0,11,7,2
1033,"[-1, -1]","[-1, -1]","[-1, -1]","[-1, -1]",0,0,2714910,10439.132300000001,0,2,0,0,0,0,0,1,3,2
1034,"[0, 0]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2714920,430911.2590999999,0,27,0,1,0,0,1,25,26,2
1035,"[9.8794679999999993, 45.796216999999999]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2714921,50503.53529999982,1,42,0,1,22,0,23,17,82,2
1036,"[0, 0]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2714929,312806.4189000004,0,49,0,1,0,0,0,36,103,2
1037,"[0, 0]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2714959,496598.17000000045,0,5,0,1,0,0,1,3,2,2
1038,"[0, 0]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2715008,549338.2386000005,0,7,0,1,0,0,0,6,5,2
1039,"[10.099499, 45.156522000000002]","[-1, -1]","[10.072022, 45.141590999999998]","[-1, -1]",0,0,2715014,567507.462000001,2,27,0,0,3,2,7,19,7,2
1040,"[-1, -1]","[-1, -1]","[-1, -1]","[-1, -1]",0,0,2715051,9864.529600000014,0,4,0,1,0,0,0,3,3,2
1041,"[0, 0]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2715070,62506.85879999997,0,5,0,1,0,0,1,3,0,2
1042,"[0, 0]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2715076,404984.50550000014,0,5,0,1,0,0,0,4,3,2
1043,"[9.8035230000000002, 45.262706000000001]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2715077,558043.1396999996,1,24,0,1,6,0,3,20,7,2
1044,"[-1, -1]","[-1, -1]","[-1, -1]","[-1, -1]",0,0,2715089,685.0444999999999,0,2,0,1,0,0,0,0,1,2
1045,"[0, 0]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2715098,581820.1678999986,0,8,0,1,0,0,0,7,2,2
1046,"[0, 0]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2715125,428521.1259000002,0,41,0,1,0,0,0,40,22,2
1047,"[10.32245, 45.310906000000003]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2715149,53232.50249999995,1,7,0,1,2,0,2,4,3,2
1048,"[-1, -1]","[-1, -1]","[-1, -1]","[-1, -1]",0,0,2715164,18725.82470000002,0,2,0,1,0,0,0,1,0,2
1049,"[0, 0]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2715176,492499.83739999996,0,10,0,1,0,0,3,3,2,2
1050,"[-1, -1]","[-1, -1]","[-1, -1]","[-1, -1]",0,0,2715187,10544.947899999997,0,2,0,1,0,0,0,1,1,2
1051,"[0, 0]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2715196,191296.32319999998,0,14,0,1,0,0,2,11,8,2
1052,"[0, 0]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2715219,33106.460100000004,0,4,0,1,0,0,1,2,8,2
1053,"[0, 0]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2715222,872648.5236999999,0,15,0,1,0,0,0,14,2,2
1054,"[10.858973000000001, 45.137180999999998]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2715248,493038.18960000004,1,16,0,1,3,0,6,5,3,2
1055,"[0, 0]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2715250,16158.613699999989,0,6,0,1,0,0,3,2,5,2
1056,"[10.199244999999999, 45.454113999999997]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2715257,35087.54249999993,1,34,0,0,26,0,26,3,22,2
1057,"[10.877758, 45.413916999999998]","[-1, -1]","[10.855515, 45.41572]","[-1, -1]",0,0,2715258,529452.6284999999,2,40,0,1,9,7,13,26,0,2
1058,"[0, 0]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2715299,9621.050699999996,0,4,0,1,0,0,2,1,1,2
1059,"[0, 0]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2715347,553905.9973999998,0,14,0,1,0,0,2,11,6,2
1060,"[0, 0]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2715359,12666.134399999994,0,5,0,1,0,0,2,2,4,2
1061,"[-1, -1]","[-1, -1]","[-1, -1]","[-1, -1]",0,0,2715383,11451.652099999998,0,3,0,1,0,0,0,2,1,2
1062,"[-1, -1]","[-1, -1]","[-1, -1]","[-1, -1]",0,0,2715401,118.94050000000001,0,1,0,1,0,0,0,0,0,2
1063,"[10.289477, 45.581406999999999]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2715407,765411.7221000002,1,30,0,1,21,0,21,4,7,2
1064,"[0, 0]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2715408,536022.5321999998,0,4,0,1,0,0,0,3,3,2
1065,"[0, 0]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2715426,450277.37290000013,0,3,0,1,0,0,1,1,1,2
1066,"[0, 0]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2715430,575596.6039,0,8,0,1,0,0,1,5,1,2
1067,"[0, 0]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2715436,15683.906300000008,0,3,0,1,0,0,1,1,1,2
1068,"[0, 0]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2715442,565949.9440999976,0,14,0,1,0,0,2,11,5,2
1069,"[0, 0]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2715459,538452.8333999998,0,5,0,1,0,0,0,4,4,2
