,Coord_1_Casa,Coord_1_Lavoro,Coord_2_Casa,Coord_2_Lavoro,Giorni_al_1Lav,Giorni_al_2Lav,Id_Term,Km_Percorsi,N_Case,N_Giorni_Pres,N_Lavori,N_Soste_Univ,Notti_1Casa,Notti_2Casa,Notti_In,Notti_Out,Trans_Confine,Veh_Type
754,"[-1, -1]","[-1, -1]","[-1, -1]","[-1, -1]",0,0,2710763,394.7964,0,1,0,1,0,0,0,0,1,2
755,"[10.057162, 45.114738000000003]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2710812,488424.2240000005,1,14,0,1,5,0,6,7,8,2
756,"[0, 0]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2710839,222131.23649999994,0,5,0,1,0,0,0,3,2,2
757,"[10.860313, 45.104951999999997]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2710902,559547.5160999997,1,11,0,1,3,0,3,6,10,2
758,"[10.065752, 45.128345000000003]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2710936,544229.0686999996,1,5,0,1,3,0,1,3,0,2
759,"[0, 0]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2710952,444449.28449999983,0,7,0,1,0,0,0,6,3,2
760,"[0, 0]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2710982,146539.0169,0,5,0,1,0,0,1,3,1,2
761,"[0, 0]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2711023,49448.06010000003,0,9,0,1,0,0,1,7,6,2
762,"[9.7779290000000003, 45.650058000000001]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2711076,587873.6977000005,1,7,0,1,3,0,2,4,4,2
763,"[10.885581999999999, 45.447692000000004]","[-1, -1]","[10.847149, 45.456727999999998]","[-1, -1]",0,0,2711125,58771.55050000003,2,21,0,1,11,5,20,0,21,2
764,"[-1, -1]","[-1, -1]","[-1, -1]","[-1, -1]",0,0,2711133,15432.655500000006,0,22,0,0,0,0,0,8,10,2
765,"[10.898667, 45.43929]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2711135,58520.856900000064,1,21,0,1,6,0,5,15,21,2
766,"[0, 0]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2711221,509004.7335000001,0,11,0,1,0,0,1,9,1,2
767,"[0, 0]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2711223,532256.1566999999,0,7,0,1,0,0,0,6,3,2
768,"[0, 0]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2711226,538791.2487999996,0,2,0,1,0,0,0,1,2,2
769,"[0, 0]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2711241,8449.2545,0,3,0,1,0,0,1,1,1,2
770,"[0, 0]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2711274,22622.784500000016,0,8,0,1,0,0,1,7,4,2
771,"[0, 0]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2711344,498466.94679999957,0,20,0,1,0,0,5,14,1,2
772,"[0, 0]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2711391,472706.7573000003,0,7,0,1,0,0,3,3,1,2
773,"[0, 0]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2711479,37746.79409999998,0,4,0,1,0,0,1,2,3,2
774,"[0, 0]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2711496,29362.06840000001,0,4,0,1,0,0,2,0,1,2
775,"[0, 0]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2711514,662482.4808999996,0,10,0,1,0,0,4,5,1,2
776,"[0, 0]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2711521,161.00879999999998,0,4,0,1,0,0,2,0,0,2
777,"[10.892925999999999, 45.412928000000001]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2711580,563386.0884999989,1,8,0,1,2,0,3,4,5,2
778,"[-1, -1]","[-1, -1]","[-1, -1]","[-1, -1]",0,0,2711607,14100.767899999999,0,2,0,1,0,0,0,1,0,2
779,"[0, 0]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2711653,743709.6750000002,0,7,0,1,0,0,1,4,1,2
780,"[0, 0]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2711748,31560.02159999999,0,6,0,1,0,0,1,3,0,2
781,"[0, 0]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2711751,587450.8762000002,0,8,0,1,0,0,0,7,6,2
782,"[0, 0]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2711800,533388.8349999996,0,11,0,1,0,0,1,9,4,2
783,"[10.366115000000001, 45.319935000000001]","[-1, -1]","[10.334984, 45.309555000000003]","[-1, -1]",0,0,2711807,6259.990200000001,2,53,0,1,43,10,53,0,2,2
784,"[10.327779, 45.501632999999998]","[-1, -1]","[10.403876, 45.408909999999999]","[-1, -1]",0,0,2711838,73872.4762999999,2,40,0,1,11,3,22,16,3,2
785,"[0, 0]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2711997,44891.973900000026,0,7,0,1,0,0,3,3,0,2
786,"[0, 0]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2712074,33658.0332,0,5,0,1,0,0,2,3,1,2
787,"[0, 0]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2712106,35623.78699999999,0,8,0,1,0,0,1,6,3,2
788,"[0, 0]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2712177,570018.8522999992,0,21,0,1,0,0,2,18,3,2
789,"[0, 0]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2712178,51.8826,0,7,0,1,0,0,2,0,1,2
790,"[-1, -1]","[-1, -1]","[-1, -1]","[-1, -1]",0,0,2712196,31532.90379999999,0,2,0,1,0,0,0,1,1,2
791,"[-1, -1]","[-1, -1]","[-1, -1]","[-1, -1]",0,0,2712206,733.9213999999998,0,1,0,1,0,0,0,0,0,2
792,"[0, 0]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2712208,35371.761799999986,0,3,0,1,0,0,1,0,1,2
793,"[9.8043940000000003, 45.644306]","[-1, -1]","[9.8243179999999999, 45.639933999999997]","[-1, -1]",0,0,2712235,432043.7424000001,2,25,0,1,4,2,10,14,7,2
794,"[10.100555, 45.537933000000002]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2712262,9436.542299999988,1,21,0,0,16,0,16,4,16,2
795,"[0, 0]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2712267,597177.0542000004,0,3,0,1,0,0,0,2,3,2
796,"[-1, -1]","[-1, -1]","[-1, -1]","[-1, -1]",0,0,2712300,15223.211200000003,0,3,0,1,0,0,0,2,1,2
797,"[-1, -1]","[-1, -1]","[-1, -1]","[-1, -1]",0,0,2712389,368.52049999999997,0,1,0,1,0,0,0,0,0,2
798,"[9.8559420000000006, 45.639653000000003]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2712427,6178.780599999978,1,30,0,0,24,0,25,1,42,2
799,"[9.8562370000000001, 45.639404999999996]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2712428,3049.367099999997,1,61,0,0,20,0,22,0,54,2
800,"[9.8567330000000002, 45.639600000000002]","[-1, -1]","[9.7999799999999997, 45.654477]","[-1, -1]",0,0,2712436,9427.090100000052,2,46,0,1,38,3,42,1,37,2
801,"[9.8565900000000006, 45.639718000000002]","[-1, -1]","[9.7997979999999991, 45.654677999999997]","[-1, -1]",0,0,2712438,11443.159500000063,2,48,0,1,40,4,44,5,43,2
802,"[9.8559230000000007, 45.639524999999999]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2712442,7116.427899999985,1,30,0,0,25,0,25,0,35,2
803,"[9.8563799999999997, 45.639951000000003]","[-1, -1]","[9.7708429999999993, 45.592225999999997]","[-1, -1]",0,0,2712447,4536.435299999901,2,38,0,1,31,2,36,1,24,2
804,"[9.8560029999999994, 45.639572999999999]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2712448,6295.118599999922,1,61,0,0,33,0,33,0,98,2
805,"[9.8567099999999996, 45.639691999999997]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2712449,138.55680000000015,1,35,0,1,2,0,3,1,0,2
806,"[9.8032059999999994, 45.760629000000002]","[-1, -1]","[9.7889180000000007, 45.769745999999998]","[-1, -1]",0,0,2712455,522.4687000000024,2,61,0,0,20,16,36,0,0,2
807,"[9.8561390000000006, 45.639949000000001]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2712465,4561.962899999889,1,39,0,1,38,0,41,1,7,2
808,"[9.8562539999999998, 45.639597000000002]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2712468,4037.0393999999756,1,31,0,0,18,0,20,0,77,2
809,"[9.8560999999999996, 45.640715999999998]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2712469,905.0268000000005,1,54,0,0,4,0,4,0,2,2
810,"[9.8560219999999994, 45.639617000000001]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2712472,5677.129300000019,1,61,0,0,21,0,21,0,25,2
811,"[9.8566549999999999, 45.639660999999997]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2712473,8569.849200000242,1,61,0,1,35,0,35,10,59,2
812,"[9.8562189999999994, 45.639555999999999]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2712477,2060.4831999999974,1,43,0,0,13,0,13,0,74,2
813,"[9.8568239999999996, 45.640054999999997]","[-1, -1]","[9.8005429999999993, 45.654972999999998]","[-1, -1]",0,0,2712482,489474.1701999995,2,19,0,1,7,6,12,3,0,2
814,"[9.8563240000000008, 45.639935000000001]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2712484,13772.188700000504,1,49,0,0,48,0,47,1,116,2
815,"[9.8561040000000002, 45.639937000000003]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2712488,89.56730000000015,1,38,0,1,3,0,3,0,0,2
816,"[9.8566889999999994, 45.639848000000001]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2712493,17329.28710000014,1,61,0,0,50,0,50,0,100,2
817,"[9.8568049999999996, 45.640270999999998]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2712495,721.4109000000016,1,61,0,0,6,0,6,0,6,2
818,"[9.8566699999999994, 45.639603000000001]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2712496,136.64749999999992,1,4,0,1,3,0,3,0,2,2
819,"[9.8568660000000001, 45.639909000000003]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2712497,13449.330899999499,1,49,0,1,47,0,46,2,57,2
820,"[9.8570130000000002, 45.640040999999997]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2712501,530164.961600001,1,13,0,1,5,0,5,5,1,2
821,"[0, 0]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2712509,524792.8289000005,0,7,0,1,0,0,0,6,0,2
822,"[9.8561259999999997, 45.639955]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2712513,12263.251200000928,1,52,0,1,51,0,51,1,127,2
